		precision	precision	recall	recall	f1_score	f1_score
		mean	std	mean	std	mean	std
boilerpipe	Reuters	72.45	19.42	83.01	24.86	74.98	16.78
boilerpipe	OccupyDemocrats	87.67	4.28	99.77	0.5	93.29	2.52
boilerpipe	LATimes	94.43	3.82	66.24	28.69	74.54	23.11
boilerpipe	FreeBeacon	94.05	2.24	100.0	0.0	96.92	1.18
boilerpipe	FoxNews	25.82	6.97	2.55	0.75	4.56	1.17
boilerpipe	CNBC	91.84	4.43	100.0	0.0	95.7	2.41
boilerpipe	APNews	70.07	12.36	100.0	0.0	81.88	8.99
boilernet	iNews	96.29	1.65	95.51	6.16	95.8	2.96
boilernet	WashingtonTimes	81.33	2.92	100.0	0.0	89.68	1.75
boilernet	TheTelegraph	95.08	3.35	86.2	15.46	89.6	7.9
boilernet	TheNewYorker	98.22	0.92	99.95	0.12	99.07	0.43
boilernet	TheNation	87.52	4.3	100.0	0.0	93.3	2.39
boilernet	TheIntercept	74.14	19.4	99.43	0.92	83.71	14.66
boilernet	TheIndependent	61.98	35.15	96.99	2.83	70.39	30.09
boilernet	TheGuardian	95.62	2.97	98.87	2.15	97.18	1.63
boilernet	TheGatewayPundit	94.43	6.87	90.48	17.77	91.51	11.41
boilernet	Reuters	79.15	44.27	60.29	43.66	65.97	42.48
boilernet	OccupyDemocrats	83.69	10.64	99.17	1.56	90.48	6.83
boilernet	LATimes	89.71	6.39	99.76	0.51	94.36	3.36
boilernet	FreeBeacon	90.34	3.17	100.0	0.0	94.9	1.72
boilernet	FoxNews	82.31	7.72	95.9	5.2	88.43	5.68
boilernet	CNBC	84.91	31.08	77.98	9.34	77.42	19.75
boilernet	APNews	62.97	37.85	50.08	41.68	51.39	35.21
